ID,title,year,source,place,place_detail,genre
doc_0185,中蒙俄经济走廊建设助推东北亚区域经济一体化,2016-09-25,新华社,中国,天津,国际交流
doc_0184,中蒙俄经济走廊规划出台 共建亚欧＂朋友圈＂,2016-11-10,大公网,none,none,政策与规划
doc_0183,中国成尼泊尔第一大直接外资来源国 中企投资助力经济发展,2017-04-13,人民日报,南亚,尼泊尔,项目进展
doc_0182,哈萨克斯坦南线天然气管道全线完工,2017-04-15,光明日报,中亚,哈萨克斯坦,项目进展
doc_0181,中哈能源合作：近半哈民众将告别无天然气可用的历史,2017-05-08,人民日报,中亚,哈萨克斯坦,项目进展
doc_0180,新能源发展与技术国际研讨会举行 “一带一路”推动全球能源互联互通,2017-06-19,人民日报,美洲,巴西,项目进展
doc_0179,国家电网公司成功入股希腊国家电网公司,2017-06-22,人民日报,欧洲,希腊,项目进展
doc_0178,中巴经济走廊首个签约项目实现商业运营,2017-06-27,新华网,南亚,巴基斯坦,项目进展
doc_0177,俄各界热议中国国家主席习近平即将访俄,2017-07-03,光明日报,东欧,俄罗斯,国际交流
doc_0176,“一带一路”带动中俄电力合作 中方电力项目造福当地民众,2017-07-03,央视网,东欧,俄罗斯,项目进展
doc_0175,中哈贸易合作正加油争气 “清洁能源+国际产能合作”受关注,2017-07-18,南方日报,中亚,哈萨克斯坦,项目进展
doc_0174,中国驻土库曼斯坦大使：土“复兴古丝绸之路”契合“一带一路” 中土正商签合作文件,2017-07-20,21世纪经济报道,中东,土耳其,国际交流
doc_0173,中俄经贸合作呈现新亮点 向质量效益型转变,2017-07-29,人民日报,东欧,俄罗斯,项目进展
doc_0172,波斯塔维变电站树立能源合作新典范 中白期待携手开拓第三方市场,2017-08-03,False,东欧,白俄罗斯,项目进展
doc_0171,俄罗斯最大天然气加工项目开工 将成中俄东线天然气管道项目源头,2017-08-04,人民日报,东欧,俄罗斯,项目进展
doc_0170,中资企业格林斯乐投资的第一座光伏电站在匈投产,2017-08-17,商务部网站,东欧,匈牙利,项目进展
doc_0169,中吉最大能源合作项目投产 吉实现自主用电,2017-08-31,中国新闻网,中亚,吉尔吉斯斯坦,项目进展
doc_0168,中巴经济走廊最大风电项目竣工投产,2017-09-01,经济日报,南亚,巴基斯坦,项目进展
doc_0167,中国企业签署马来西亚巴勒水电站总承包合同,2017-09-12,商务部网站,东南亚,马来西亚,项目进展
doc_0166,油气合作成中哈务实合作压舱石 哈南线惠及哈萨克斯坦半数人口,2017-09-18,人民日报,中亚,哈萨克斯坦,项目进展
doc_0165,中企91亿美元收购俄石油公司部分股权 中俄企业能源合作进入实质阶段,2017-09-27,参考消息网,东欧,none,项目进展
doc_0164,中企承建300兆瓦光伏电站项目在阿根廷北部沙漠地区开工,2017-10-10,人民日报,南美,阿根廷,项目进展
doc_0163,“一带一路”框架下中俄双边合作研讨会在俄举行,2017-11-05,国际在线,东欧,俄罗斯,国际交流
doc_0162,“一带一路”日本研究中心在东京成立 发起人：加强研究促进理解和认识,2017-12-01,人民日报,东亚,日本,国际交流
doc_0161,中乌合建卡拉库利气田项目一期投产,2017-12-05,新华社,中亚,乌兹别克斯坦,项目进展
doc_0160,中企投资印尼氧化铝项目配股方案通过 两国能源合作获双赢,2017-12-13,中国青年网,东南亚,印尼,项目进展
doc_0159,《中巴经济走廊远景规划》明确建设发展方向 获巴方盛赞,2017-12-24,光明日报,南亚,巴基斯坦,政策与规划
doc_0158,俄媒对“一带一路”报道井喷式增长 各界盛赞中俄合作,2017-12-28,光明日报,东欧,俄罗斯,综述报道
doc_0157,中国携印尼打造“亚太油气合作区”,2018-01-24,经济参考报,东南亚,印尼,项目进展
doc_0156,挪威官员：期待中国航班直航北极,2018-01-29,光明日报,北欧,挪威,项目进展
