# Eamples of categories(only for testing)

The full categories list in Qiu's book《汉语话说结构句法学》(2013). Due to intellectual property restrictions, only a simplified examples is provided here.

1,时域所存句,【T域事/时域-C所存】,{时域所存句} 项目实施过程中【T时域】\|\|还是遇到一些困难【C所存】。
2,空域所存句,【T域事/空域-C所存】,{空域所存句}在“一带一路”倡议下【T空域】\|\|，中泰取得了丰硕成果【C所存】。
3,所隶句,【T领事-C所隶】,{所隶句} 项目【T领事】\|\|涵盖了10大重点领域【C所隶】。
4,所归句,【T归事-C所归】,{所归句}风电站【T归事】\|\|属于能源合作实施项目之一【C所归】
5,有生性质句,【T当事/有生-C性质】,{有生性质句} 日常生活中阿萨德【T当事/有生】\|\|也非常乐于助人【C性质】。
6,事物性质句,【T当事/事物-C性质】,{事物性质句}这种环保设计【T当事/事物】代表着未来的发展趋势【C性质】。
7,事件性质句,【T当事/事件-C性质】,{事件性质句}2020年的展会【T当事/事件】\|\|办得很好【C性质】
8,处所性质句,【T当事/处所-C性质】,{处所性质句}古老的阿拉伯半岛【T当事/处所】\|\|是世界航运要冲【C性质】
9,时段性质句,【T当事/时段-C性质】,{时段性质句}那时候【T当事/时段】\|\|所有人都穷【C性质】
9-1,方式性质句,【T当事/方式-C性质】,{方式性质句}中国特色大国外交【T当事/方式】\|\|始终坚守初心【C性质】
9-2,行为性质句,【T当事/行为-C性质】,{行为性质句}共建“一带一路”【T当事/行为】\|\|积极践行绿色发展理念【C性质1】
10,有生状态句,【T当事/有生-C状态】,{有生状态句}非洲超6亿人【T当事/有生】\|\|生活在无电可用的环境中【C状态】
11,事物状态句,【T当事/事物-C状态】,{事物状态句}中国【T当事/事物】\|\|稳居阿拉伯第一大贸易国地位【C状态】。
12,处所状态句,【T当事/处所-C状态】,{处所状态句} 阿穆尔州【T当事/处所】\|\|，位于黑河以北百公里【C状态】。。
13,方式状态句,【T当事/方式-C状态】,{方式状态句}合作【T当事/方式】\|\|走在时代前列【C状态】
14,时段状态句,【T当事/时段-C状态】{时段状态句}随着向碳中和迈进【T当事/时段】\|\|气候变化逐步成为战场【C状态】
15,事件状态句,【T当事/事件-C状态】,{事件状态句}国际社会面临的困难【T当事/事件】\|\|层出不穷【C状态】。
16,行为状态句,【T当事/行为-C状态】,{行为状态句}中俄跨境电商合作【T当事/行为】\|\|发展迅速【C状态】。
17,所言状态句,【T当事/所言-C状态】,{所言状态句}他的讲话【T当事/所言】\|\|在海湾地区，回响声不绝于耳【C状态】。
17-1,规模状态句,【T当事/规模-C状态】,保加利亚玫瑰销往中国的数量【T当事/规模】显著增加【C状态】
18,自事句,【T自事-C动状】,{自事句}雨后【T自事】\|\|初霁【C动状】。
19,计数句,【T量事-C数量/计数】,{计数句}中俄西线管道【T量事】\|\|每年的供气量足有300亿方【C计数】。
20,估算句,【T量事-C数量/估算】,{估算句}工业区【T量事】\|\|距离阿布扎比市中心大约60公里【C数量/估算】
21,计价句,【T量事-C数量/计价】,{计价句}前4个月双边贸易额【T量事】\|\|即突破400亿美元【C计价】
22,计时句,【T量事-C数量/计时】,{计价句}水电站【T量事】\|\|计划使用十年【C计时】
23,计用句,【T量事-C数量/计用】,{计用句}一座发电站【T量事】\|\|共全村人用【C计用】
24,换算句,【T量事-C数量/换算】,{换算句}减排[T量事]相当于每年减少二氧化碳排放3068万吨【C换算】
25,说时句,【T说时-C所为】,{说时句}在建设事业中【T说时】\|\|，他们相互支持、互利合作【C所为】。
26,说地句,【T说地-C所为】,{说地句}比如【D独立语/插入语】，能源合作方面【T说地】\|\|，开展人民币结算【C 所为】。
27,工具句,【T工具-C所用】,{工具句} 该项目在投运后【T工具】\|\|成为连接南北电网的主干输电通道【C所用】。
28,材料句,【T材料-C所用】,{材料句}水资源【T材料】\|\|用于水电发电【C所用】
29,用地句,【T用地-C所用】,{用地句}（铁路通道[T用地]\|\|以推动俄境内现有铁路线路改造工程【C所用】。
30,用位句,【T用位-C所用】,{用位句}法国电视台【T用位】\|\|播放了一期节目【C所用】

## Copyright Notice
Due to copyright measures, the complete labeling schema is not publicly available. Only representative examples are provided for reference.

## References
Xuemei Qiu. (2013). 汉语话说结构句法学 [The Theory of Topic-Comment Structure Syntax]. Beijing: World Book Publishing Company.
